Date,GBP= (BID)
,Close
28/4/2022,1.2456
27/4/2022,1.2548
26/4/2022,1.2572
25/4/2022,1.274
22/4/2022,1.2837
21/4/2022,1.3028
20/4/2022,1.3066
19/4/2022,1.2996
18/4/2022,1.3008
15/4/2022,1.3058
14/4/2022,1.3065
13/4/2022,1.3115
12/4/2022,1.2997
11/4/2022,1.3029
08/4/2022,1.3031
07/4/2022,1.3073
06/4/2022,1.3068
05/4/2022,1.3068
04/4/2022,1.3113
01/4/2022,1.3112
31/3/2022,1.3133
30/3/2022,1.3131
29/3/2022,1.3084
28/3/2022,1.3084
25/3/2022,1.3188
24/3/2022,1.3183
23/3/2022,1.3203
22/3/2022,1.3263
21/3/2022,1.3165
18/3/2022,1.318
17/3/2022,1.3146
16/3/2022,1.3145
15/3/2022,1.3038
14/3/2022,1.3
11/3/2022,1.3036
10/3/2022,1.3083
09/3/2022,1.3179
08/3/2022,1.3103
07/3/2022,1.3102
04/3/2022,1.3225
03/3/2022,1.3346
02/3/2022,1.3403
01/3/2022,1.3321
28/2/2022,1.3419
25/2/2022,1.3405
24/2/2022,1.3375
23/2/2022,1.3542
22/2/2022,1.3582
21/2/2022,1.3598
18/2/2022,1.359
17/2/2022,1.3614
16/2/2022,1.3583
15/2/2022,1.3533
14/2/2022,1.3526
11/2/2022,1.356
10/2/2022,1.3555
09/2/2022,1.3532
08/2/2022,1.3541
07/2/2022,1.3534
04/2/2022,1.3529
03/2/2022,1.3595
02/2/2022,1.3577
01/2/2022,1.352
31/1/2022,1.3445
28/1/2022,1.3404
27/1/2022,1.3385
26/1/2022,1.3461
25/1/2022,1.3496
24/1/2022,1.3485
21/1/2022,1.3554
20/1/2022,1.3595
19/1/2022,1.3606
18/1/2022,1.3594
17/1/2022,1.3645
14/1/2022,1.3673
13/1/2022,1.3705
12/1/2022,1.3701
11/1/2022,1.3635
10/1/2022,1.3575
07/1/2022,1.3585
06/1/2022,1.3528
05/1/2022,1.3554
04/1/2022,1.3532
03/1/2022,1.3471
31/12/2021,1.3529
30/12/2021,1.3494
29/12/2021,1.3486
28/12/2021,1.3434
27/12/2021,1.3437
24/12/2021,1.3385
23/12/2021,1.3404
22/12/2021,1.3348
21/12/2021,1.3265
20/12/2021,1.3207
17/12/2021,1.3242
16/12/2021,1.3319
15/12/2021,1.3263
