Date,GBP= (BID)
,Close
22/8/2016,1.3137
15/8/2016,1.3074
08/8/2016,1.2918
01/8/2016,1.3068
25/7/2016,1.3226
18/7/2016,1.3106
11/7/2016,1.3191
04/7/2016,1.2954
27/6/2016,1.3261
20/6/2016,1.3678
13/6/2016,1.4356
06/6/2016,1.4256
30/5/2016,1.4519
23/5/2016,1.462
16/5/2016,1.45
09/5/2016,1.4361
02/5/2016,1.4428
25/4/2016,1.4611
18/4/2016,1.4401
11/4/2016,1.4194
04/4/2016,1.4122
28/3/2016,1.422
21/3/2016,1.4142
14/3/2016,1.4478
07/3/2016,1.4385
29/2/2016,1.4225
22/2/2016,1.3868
15/2/2016,1.4404
08/2/2016,1.4505
01/2/2016,1.45
25/1/2016,1.4245
18/1/2016,1.4263
11/1/2016,1.4254
04/1/2016,1.4517
28/12/2015,1.4743
21/12/2015,1.4932
14/12/2015,1.4892
07/12/2015,1.5215
30/11/2015,1.511
23/11/2015,1.5035
16/11/2015,1.5189
09/11/2015,1.5231
02/11/2015,1.5047
26/10/2015,1.5428
19/10/2015,1.5313
12/10/2015,1.5434
05/10/2015,1.5303
28/9/2015,1.5181
21/9/2015,1.5181
14/9/2015,1.5531
07/9/2015,1.5427
31/8/2015,1.5168
24/8/2015,1.5391
17/8/2015,1.5695
10/8/2015,1.5643
03/8/2015,1.5495
27/7/2015,1.5622
20/7/2015,1.5512
13/7/2015,1.5608
06/7/2015,1.5524
29/6/2015,1.5568
22/6/2015,1.575
15/6/2015,1.5882
08/6/2015,1.5554
01/6/2015,1.527
25/5/2015,1.5288
18/5/2015,1.5488
11/5/2015,1.5721
04/5/2015,1.5454
27/4/2015,1.5139
20/4/2015,1.5186
13/4/2015,1.4959
06/4/2015,1.4629
30/3/2015,1.4919
23/3/2015,1.4875
16/3/2015,1.4949
09/3/2015,1.4743
02/3/2015,1.5035
23/2/2015,1.5432
16/2/2015,1.5398
09/2/2015,1.5397
02/2/2015,1.5243
26/1/2015,1.5066
19/1/2015,1.4987
12/1/2015,1.5148
05/1/2015,1.5158
29/12/2014,1.5325
22/12/2014,1.5554
15/12/2014,1.5629
08/12/2014,1.5718
01/12/2014,1.5581
24/11/2014,1.5646
17/11/2014,1.5653
10/11/2014,1.5667
03/11/2014,1.5871
27/10/2014,1.5995
20/10/2014,1.6088
13/10/2014,1.6092
06/10/2014,1.6075
29/9/2014,1.5962
22/9/2014,1.6245
15/9/2014,1.6286
08/9/2014,1.6266
