Date,Close
14-Sep-2021,"2,656"
13-Sep-2021,"2,637"
10-Sep-2021,"2,603"
09-Sep-2021,"2,673"
08-Sep-2021,"2,687"
07-Sep-2021,"2,704"
03-Sep-2021,"2,654"
02-Sep-2021,"2,611"
01-Sep-2021,"2,538"
31-Aug-2021,"2,540"
30-Aug-2021,"2,597"
27-Aug-2021,"2,582"
26-Aug-2021,"2,623"
25-Aug-2021,"2,612"
24-Aug-2021,"2,570"
23-Aug-2021,"2,554"
20-Aug-2021,"2,567"
19-Aug-2021,"2,628"
18-Aug-2021,"2,673"
17-Aug-2021,"2,648"
16-Aug-2021,"2,607"
13-Aug-2021,"2,620"
12-Aug-2021,"2,582"
11-Aug-2021,"2,580"
10-Aug-2021,"2,536"
09-Aug-2021,"2,480"
06-Aug-2021,"2,474"
05-Aug-2021,"2,457"
04-Aug-2021,"2,445"
03-Aug-2021,"2,474"
02-Aug-2021,"2,421"
30-Jul-2021,"2,422"
29-Jul-2021,"2,484"
28-Jul-2021,"2,471"
27-Jul-2021,"2,438"
26-Jul-2021,"2,428"
23-Jul-2021,"2,364"
22-Jul-2021,"2,361"
21-Jul-2021,"2,317"
20-Jul-2021,"2,310"
19-Jul-2021,"2,298"
16-Jul-2021,"2,371"
15-Jul-2021,"2,369"
14-Jul-2021,"2,402"
13-Jul-2021,"2,399"
12-Jul-2021,"2,430"
09-Jul-2021,"2,347"
08-Jul-2021,"2,295"
07-Jul-2021,"2,296"
06-Jul-2021,"2,298"
02-Jul-2021,"2,319"
01-Jul-2021,"2,354"
30-Jun-2021,"2,389"
29-Jun-2021,"2,390"
28-Jun-2021,"2,380"
25-Jun-2021,"2,380"
24-Jun-2021,"2,344"
23-Jun-2021,"2,369"
22-Jun-2021,"2,396"
21-Jun-2021,"2,378"
18-Jun-2021,"2,372"
17-Jun-2021,"2,381"
16-Jun-2021,"2,422"
15-Jun-2021,"2,428"
14-Jun-2021,"2,447"
11-Jun-2021,"2,402"
10-Jun-2021,"2,433"
09-Jun-2021,"2,392"
08-Jun-2021,"2,418"
07-Jun-2021,"2,404"
04-Jun-2021,"2,452"
03-Jun-2021,"2,455"
02-Jun-2021,"2,466"
01-Jun-2021,"2,467"
28-May-2021,"2,456"
27-May-2021,"2,468"
26-May-2021,"2,459"
25-May-2021,"2,427"
24-May-2021,"2,437"
21-May-2021,"2,499"
20-May-2021,"2,485"
19-May-2021,"2,516"
18-May-2021,"2,549"
17-May-2021,"2,578"
14-May-2021,"2,514"
13-May-2021,"2,502"
12-May-2021,"2,517"
11-May-2021,"2,466"
10-May-2021,"2,514"
07-May-2021,"2,463"
06-May-2021,"2,413"
05-May-2021,"2,395"
04-May-2021,"2,324"
03-May-2021,"2,369"
30-Apr-2021,"2,382"
29-Apr-2021,"2,499"
28-Apr-2021,"2,472"
27-Apr-2021,"2,478"
26-Apr-2021,"2,487"
23-Apr-2021,"2,450"
22-Apr-2021,"2,442"
21-Apr-2021,"2,439"
20-Apr-2021,"2,419"
19-Apr-2021,"2,492"
16-Apr-2021,"2,464"
15-Apr-2021,"2,463"
14-Apr-2021,"2,459"
13-Apr-2021,"2,441"
12-Apr-2021,"2,401"
09-Apr-2021,"2,387"
08-Apr-2021,"2,384"
07-Apr-2021,"2,411"
06-Apr-2021,"2,425"
05-Apr-2021,"2,364"
01-Apr-2021,"2,416"
31-Mar-2021,"2,385"
30-Mar-2021,"2,384"
29-Mar-2021,"2,461"
26-Mar-2021,"2,479"
25-Mar-2021,"2,473"
24-Mar-2021,"2,453"
23-Mar-2021,"2,464"
22-Mar-2021,"2,515"
19-Mar-2021,"2,506"
18-Mar-2021,"2,552"
17-Mar-2021,"2,532"
16-Mar-2021,"2,526"
15-Mar-2021,"2,530"
12-Mar-2021,"2,570"
11-Mar-2021,"2,593"
10-Mar-2021,"2,573"
09-Mar-2021,"2,553"
08-Mar-2021,"2,533"
05-Mar-2021,"2,546"
04-Mar-2021,"2,625"
03-Mar-2021,"2,657"
02-Mar-2021,"2,645"
01-Mar-2021,"2,639"
26-Feb-2021,"2,604"
25-Feb-2021,"2,608"
24-Feb-2021,"2,553"
23-Feb-2021,"2,499"
22-Feb-2021,"2,490"
19-Feb-2021,"2,443"
18-Feb-2021,"2,391"
17-Feb-2021,"2,374"
16-Feb-2021,"2,428"
12-Feb-2021,"2,433"
11-Feb-2021,"2,437"
10-Feb-2021,"2,494"
09-Feb-2021,"2,430"
08-Feb-2021,"2,445"
05-Feb-2021,"2,472"
04-Feb-2021,"2,450"
03-Feb-2021,"2,454"
02-Feb-2021,"2,499"
01-Feb-2021,"2,485"
29-Jan-2021,"2,474"
28-Jan-2021,"2,457"
27-Jan-2021,"2,447"
26-Jan-2021,"2,491"
25-Jan-2021,"2,465"
22-Jan-2021,"2,486"
21-Jan-2021,"2,508"
20-Jan-2021,"2,524"
19-Jan-2021,"2,541"
15-Jan-2021,"2,482"
14-Jan-2021,"2,455"
13-Jan-2021,"2,457"
12-Jan-2021,"2,448"
11-Jan-2021,"2,430"
08-Jan-2021,"2,460"
07-Jan-2021,"2,488"
06-Jan-2021,"2,443"
05-Jan-2021,"2,469"
04-Jan-2021,"2,507"
31-Dec-2020,"2,535"
30-Dec-2020,"2,524"
29-Dec-2020,"2,451"
28-Dec-2020,"2,492"
24-Dec-2020,"2,522"
23-Dec-2020,"2,489"
22-Dec-2020,"2,470"
21-Dec-2020,"2,497"
18-Dec-2020,"2,472"
17-Dec-2020,"2,496"
16-Dec-2020,"2,465"
15-Dec-2020,"2,541"
14-Dec-2020,"2,589"
11-Dec-2020,"2,622"
10-Dec-2020,"2,567"
09-Dec-2020,"2,549"
08-Dec-2020,"2,575"
07-Dec-2020,"2,636"
04-Dec-2020,"2,654"
03-Dec-2020,"2,651"
02-Dec-2020,"2,638"
01-Dec-2020,"2,691"
30-Nov-2020,"2,739"
27-Nov-2020,"2,766"
25-Nov-2020,"2,724"
24-Nov-2020,"2,785"
23-Nov-2020,"2,753"
20-Nov-2020,"2,712"
19-Nov-2020,"2,665"
18-Nov-2020,"2,580"
17-Nov-2020,"2,517"
16-Nov-2020,"2,435"
13-Nov-2020,"2,365"
12-Nov-2020,"2,356"
11-Nov-2020,"2,374"
10-Nov-2020,"2,357"
09-Nov-2020,"2,391"
06-Nov-2020,"2,338"
05-Nov-2020,"2,318"
04-Nov-2020,"2,291"
03-Nov-2020,"2,308"
02-Nov-2020,"2,264"
30-Oct-2020,"2,305"
29-Oct-2020,"2,338"
28-Oct-2020,"2,378"
27-Oct-2020,"2,455"
26-Oct-2020,"2,492"
23-Oct-2020,"2,479"
22-Oct-2020,"2,471"
21-Oct-2020,"2,426"
20-Oct-2020,"2,382"
19-Oct-2020,"2,420"
16-Oct-2020,"2,359"
15-Oct-2020,"2,341"
14-Oct-2020,"2,383"
13-Oct-2020,"2,377"
12-Oct-2020,"2,431"
09-Oct-2020,"2,422"
08-Oct-2020,"2,459"
07-Oct-2020,"2,441"
06-Oct-2020,"2,428"
05-Oct-2020,"2,449"
02-Oct-2020,"2,461"
01-Oct-2020,"2,487"
30-Sep-2020,"2,527"
29-Sep-2020,"2,562"
28-Sep-2020,"2,565"
25-Sep-2020,"2,545"
24-Sep-2020,"2,575"
23-Sep-2020,"2,561"
